date,Rate, Annual % Change, 
1990-12-31,9.4476
1991-12-31,9.8199,3.94
1992-12-31,9.3112,-5.18
1993-12-31,9.4776,1.79
1994-12-31,8.8938,-6.16
1995-12-31,8.1329,-8.56
1996-12-31,7.3034,-10.2
1997-12-31,6.6844,-8.48
1998-12-31,6.1537,-7.94
1999-12-31,5.5598,-9.65
2000-12-31,5.5192,-0.73
2001-12-31,6.6672,20.8
2002-12-31,5.6282,-15.58
2006-12-31,5.7744,2.6
2007-12-31,5.6576,-2.02
2008-12-31,5.3861,-4.8
2009-12-31,4.9914,-7.33
2010-12-31,4.731,-5.22
2011-12-31,4.6709,-1.27
2012-12-31,4.6916,0.44
2013-12-31,4.4834,-4.44
2014-12-31,4.3983,-1.9
2015-12-31,4.893,11.25
2016-12-31,5.3217,8.76
2017-12-31,5.2439,-1.46
2018-12-31,4.9298,-5.99
2019-12-31,4.9859,1.14
2020-12-31,6.4208,28.78
2021-12-31,6.8075,6.02